Title ,Year ,Director ,Country ,ASL 
Abre los ojos ,1997,"Amenabar, Alejandro ",SPA ,5.4
Abroad with Two Yanks ,1944,"Dwan, Allan ",USA ,12.1
Abschied aus Buckow ,2000,"Schütte, Jan ",GER ,13.9
Absence of Malice ,1981,"Pollack, Sydney ",USA ,5.13
Absentia ,2011,"Flanagan, Mike ",USA ,3.89
"Absent-minded Professor, The ",1961,"Stevenson, Robert ",USA ,4.8
Absolute Beginners ,1986,"Temple, Julien ",BRI ,4.24
Absolute Power ,1996,"Eastwood, Clint ",USA ,5
Abwege ,1928,"Pabst, G. W. ",GER ,6.2
"Abyss, The ",1989,"Cameron, James ",USA ,4.68
"Acacias, las ",2011,"Giorgelli, Pablo ",,15.02
Accattone ,1961,"Pasolini, Pier Paolo ",ITA ,6.9
Accepted ,2006,"Pink, Steve ",USA ,3.22
Accident ,1967,"Losey, Joseph ",BRI ,10.7
Accidental Hero ,1992,"Frears, Stephen ",USA ,6.89
"Accidental Husband, The ",2008,"Dunne, Griffin ",,3.33
"Accidental Tourist, The ",1988,"Kasdan, Lawrence ",USA ,8.9
"Accused, The ",1988,"Kaplan, Jonathan ",USA ,4.69
Ace Ventura: Pet Detective ,1993,"Shadyac, Tom ",USA ,4.95
Ace Ventura: When Nature Calls ,1995,"Oedekerk, Steve ",USA ,4.4
Aces and Eights ,1936,"Newfield, Sam ",USA ,6.85
Aces High ,1976,"Gold, Jack ",BRI ,4.25
Aces: Iron Eagle III ,1993,"Glen, John ",USA ,3.6
"Acid House, The ",1998,"McGuigan, Paul ",BRI ,4.9
Acquamarine ,2006,"Allen, Elizabeth ",USA ,2.51
Acquasanta Joe ,1971,"Gariazzo, Mario ",ITA ,7.8
Across 110th. Street ,1972,"Shear, Barry ",USA ,5.4
Across the Pacific ,1942,"Huston, John ",USA ,10.1
Across the Rio Grande ,1949,"Drake, Oliver ",USA ,8.4
Across the Tracks ,1991,"Tung, Sandy ",USA ,6.5
Across the Wide Missouri ,1951,"Wellman, William ",USA ,5.56
Act of God ,2009,"Faughnan, Sean ",BRI ,4.36
Act of Love ,1953,"Litvak, Anatole ",USA ,12
Act of Necessity ,1991,"Munro, Ian ",AUS ,11.1
Act of the Heart ,1970,"Almond, Paul ",CAN ,9.6
Action in Arabia ,1944,"Moguy, Leonide ",USA ,5.1
Action in the North Atlantic ,1943,"Bacon, Lloyd ",USA ,4.46
Action Jackson ,1988,"Baxley, Craig R. ",USA ,3.8
"Actors, The ",2003,"McPherson, Conor ",,3.03
"Actress, The ",1953,"Cukor, George ",USA ,26.7
Ada ,1961,"Mann, Daniel ",USA ,11.5
Adam ,2009,"Mayer, Max ",USA ,6.77
Adam & Paul ,2004,"Abrahamson, Lenny ",IRE ,5.26
Adam and Evelyne ,1949,"French, Harold ",BRI ,11.2
Adam's Apple ,1928,"Beaudine, William ",BRI ,6.5
Adam's Rib ,1949,"Cukor, George ",USA ,15
Adaptation ,2002,"Jonze, Spike ",USA ,4.18
Addams Family Values ,1993,"Sonnenfeld, Barry ",USA ,3.8
"Addams Family, The ",1991,"Sonnenfeld, Barry ",USA ,3.3
Addicted to Love ,1997,"Dunne, Griffin ",USA ,3.5
"Addiction, The ",1994,"Ferrara, Abel ",USA ,20
"Adding Machine, The ",1969,"Epstein, Jerome ",,7.7
Adhikari ,1986,"Sadanah, Vijay ",IND ,6.9
"Adjuster, The ",1991,"Egoyan, Atom ",CAN ,16.7
"Adjustment Bureau, The ",2010,"Nolfi, George ",USA ,4.3
Adolf Hitler - My Part in His Downfall ,1972,"Cohen, Norman ",BRI ,6.7
Adrenalin: Feel the Rush ,1996,"Pyun, Albert ",USA ,2.9
Adulthood ,2008,"Clarke, Noel ",BRI ,2.77
"Adventure for Two, An ",1979,"Lelouch, Claude ",FRA ,15.5
Adventure of Sherlock Holmes' Smarter Brot ,1975,"Wilder, Gene ",BRI ,5.7
Adventureland ,2009,"Mottola, Greg ",USA ,4.7
"Adventurers, The ",1950,"MacDonald, David ",BRI ,9.28
"Adventurers, The ",1970,"Gilbert, Lewis ",USA ,5.5
Adventures in Babysitting ,1987,"Columbus, Chris ",USA ,3.2
Adventures in Dinosaur City ,1992,"Thompson, Brett ",USA ,4.4
Adventures of a Plumber's Mate ,1978,"Long, Stanley ",BRI ,7.4
Adventures of a Private Eye ,1977,"Long, Stanley ",BRI ,5.7
Adventures of a Taxi Driver ,1975,"Long, Stanley A. ",BRI ,5
"Adventures of Baron Munchausen, The ",1988,"Gilliam, Terry ",USA ,3.28
"Adventures of Barry Mackenzie, The ",1972,"Beresford, Bruce ",,5.61
"Adventures of Huckleberry Finn, The ",1939,"Thorpe, Richard ",USA ,7.6
"Adventures of Mark Twain, The ",1944,"Rapper, I. ",USA ,5.5
"Adventures of Michael Strogoff, The ",1937,"Nichols, Jr., George ",USA ,4.22
"Adventures of Milo and Otis, The ",1986,"Hata, Masanori ",JAP ,5
"Adventures of Pluto Nash, The ",2001,"Underwood, Ron ",USA ,3.07
"Adventures of Priscilla, Queen of the Dese ",1994,"Elliot, Stephan ",AUS ,5.3
"Adventures of Robin Hood, The ",1938,"Curtiz, M. & Keighley, W. ",USA ,4.76
"Adventures of Rocky and Bullwinkle, The ",1999,"McAnuff, Des ",USA ,3.8
"Adventures of Sherlock Holmes, The ",1939,"Werker, Alfred ",USA ,9.8
Advice to the Lovelorn ,1933,"Werker, Alfred ",USA ,10.4
Advise and Consent ,1962,"Preminger, Otto ",USA ,17
Ae Fond Kiss… ,2004,"Loach, Ken ",BRI ,11.27
Aeon Flux ,2005,"Kusama, Karyn ",USA ,1.96
Affair in Trinidad ,1952,"Sherman, Vincent ",USA ,8.7
"Affair of the Necklace, The ",2001,"Shyer, Charles ",USA ,3.5
"Affair to Remember, An ",1957,"McCarey, Leo ",USA ,13.34
Affair With a Stranger ,1953,"Rowland, Roy ",USA ,9.93
"Affairs of Anatole, The ",1921,"DeMille, Cecil B. ",USA ,8
"Affairs of Jimmy Valentine, The ",1942,"Vorhaus, Bernard ",USA ,9.5
"Affiche, L' ",1924,"Epstein, Jean ",FRA ,8.5
Affliction ,1997,"Schrader, Paul ",USA ,11.04
"Afrance, L' ",2001,"Gomis, Alain ",,15.2
Africa - Texas Style! ,1967,"Marton, Andrew ",,4.88
Africa United ,2010,"Gardner-Patterson, Debs ",,2.66
"African Queen, The ",1952,"Huston, John ",BRI ,9.3
Afrodite ,1957,"Bonnard, Mario ",ITA ,15.5
"After Dark, My Sweet ",1990,"Foley, James ",USA ,6.7
After Hours ,1985,"Scorsese, Martin ",USA ,6.77
After Life ,,Koreeda Hirokazu ,JAP ,18.5
After Midnight ,1927,"Bell, Monta ",USA ,4.7
After the Sunset ,2004,"Ratner, Brett ",USA ,3.94
After Tomorrow ,1932,"Borzage, Frank ",USA ,13.5
Against all Flags ,1952,"Sherman, George ",USA ,7.7
Against the Ropes ,2003,"Dutton, Charles S. ",USA ,3.31
Against the Wind ,1947,"Crichton, Charles ",BRI ,8.2
Agatha ,1979,"Apted, Michael ",BRI ,7.48
Age of Consent ,1969,"Powell, Michael ",AUS ,7.16
Age of Heroes ,2011,"Vitoria, Adrian ",,4.53
"Age of Innocence, The ",1993,"Scorsese, Martin ",USA ,6.63
Agent Cody Banks ,2003,"Zwart, Harold ",USA ,2.87
Agent Cody Banks 2: Destination London ,2003,"Allen, Kevin ",USA ,2.5
Agent for H.A.R.M. ,1966,"Oswald, Gerd ",USA ,6.1
"Agi Murad, il diavolo bianco ",1959,"Freda, Riccardo ",ITA ,9.5
Agnes Brown ,1999,"Huston, Anjelica ",,5.3
Agnes of God ,1985,"Jewison, Norman ",USA ,7.7
"Aguirre, der Zorn Gottes ",1972,"Herzog, Werner ",GER ,12.19
Ai no machi ,1928,"Tasaka, Tomotaka ",JAP ,7.7
AI: Artificial Intelligence ,2001,"Spielberg, Steven ",USA ,8.2
Aimée & Jaguar ,1999,"Färberböck, Max ",GER ,7.8
Air America ,1990,"Spottiswoode, Roger ",USA ,4.22
Air Bud ,1997,"Smith, Charles Martin ",USA ,2.9
Air Bud: Golden Receiver ,1998,"Martin, Richard ",,2.7
Air Bud: World Pup ,2000,"Bannerman, Bill ",,2.87
Air Cadet ,1951,"Pevney, Joseph ",USA ,7.1
Air Force ,1943,"Hawks, Howard ",USA ,6.21
Air Force One ,1997,"Petersen, Wolfgang ",USA ,4.2
Air Hostess ,1933,"Rogell, Albert ",USA ,8.4
Airborne ,1993,"Bowman, Rob ",USA ,3.9
Airborne ,1997,"Grant, Julian ",CAN ,3.3
Airheads ,1994,"Lehmann, Michael ",USA ,3.96
Airplane II: The Sequel ,1982,"Finkleman, Ken ",USA ,6.5
Airplane! ,1980,"Abrahams, J. & Zucker, D. & J. ",USA ,4.63
Airport ,1970,"Seaton, George ",USA ,7.9
Airport 1975 ,1974,"Smight, Jack ",USA ,9.5
Airspeed ,1997,"Tinnell, Robert ",CAN ,3.8
Akeelah and the Bee ,2006,"Atchinson, Doug ",USA ,2.89
Akele hum akele tum ,1996,"Khan, Mansoor ",IND ,6.4
Akenfield ,1975,"Hall, Peter ",BRI ,7.2
Akira ,1988,Otomo Katsuhiro ,JAP ,4.7
Aks ,2001,"Mehra, Rakesh Omprakesh ",IND ,6.5
Al Capone ,1958,"Wilson, Robert ",USA ,14
Al Jennings of Oklahoma ,1951,"Nazarro, Ray ",USA ,8.18
Alaipayuthey ,2001,"Ratnam, Mani ",IND ,7.8
Alamar ,2009,"Gonzalez-Rubio, Pedro ",MEX ,11.55
"Alamo, The ",1960,"Wayne, John ",USA ,7.57
"Alamo, The ",2004,"Hancock, John Lee ",USA ,3.43
"Alan Smithee Film: Burn Hollywood Burn, An ",1997,"Hiller, Arthur ",USA ,10.3
Alaska ,1996,"Heston, Fraser C. ",USA ,4.4
Albatross ,2011,"McCormick, Nial ",BRI ,3.03
Albela ,1951,"Bhagwan, Master ",IND ,13.2
"Albero degli zoccoli, l ",1978,"Olmi, Ermanno ",ITA ,5.78
Albino Allligator ,1996,"Spacey, Kevin ",,5
Aleksandr Nevsky ,1938,"Eisenstein, Sergei ",RUS ,7.1
Aleksandra ,2007,"Sokurov, Aleksandr ",,8.64
Alex & Emma ,2003,"Reiner, Rob ",USA ,4.82
Alex in Wonderland ,1970,"Mazursky, Paul ",USA ,9.9
Alexander ,2004,"Stone, Oliver ",,3.77
Alexander the Great ,1956,"Rossen, Robert ",,7.3
Alfie ,1966,"Gilbert, Lewis ",BRI ,11.47
Alfie ,2004,"Shyer, Charles ",USA ,4.29
Alfie Darling ,1975,"Hughes, Ken ",BRI ,8.4
Alfred the Great ,1969,"Donner, Clive ",BRI ,5.5
Ali ,2001,"Mann, Michael ",USA ,4.45
Ali G indahouse ,2002,"Mylod, Mark ",,3.3
Ali Zaoua ,2000,"Ayouch, Nabil ",,5.7
Alice ,1990,"Allen, Woody ",USA ,38.9
Alice in Acidland ,1968,"Cat, Cheshire ",USA ,22.4
Alice in Wonderland ,1933,"McLeod, Norman Z. ",USA ,6.3
Alice in Wonderland ,2010,"Burton, Tim ",USA ,2.97
Alice's Adventures in Wonderland ,1972,"Sterling, William ",BRI ,5.1
Alien ,1979,"Scott, Ridley ",,5.76
Alien 3 ,1992,"Fincher, David ",USA ,3.4
Alien Autopsy ,2006,"Campbell, Jonny ",BRI ,4.29
Alien Hunter ,2003,"Krauss, Ron ",,3.77
Alien Nation ,1988,"Baker, Graham ",USA ,3.99
Alien: Resurrection ,1997,"Jeunet, Jean-Pierre ",USA ,3.24
Aliens ,1986,"Cameron, James ",USA ,3.72
Aliens in the Attic ,2009,"Schultz, John ",,2.25
Alive ,1992,"Marshall, Frank ",USA ,6.42
Alive and Kicking ,1958,"Frankel, Cyril ",BRI ,8.5
Alive and Kicking ,1996,"Meckler, Nancy ",BRI ,11.5
All About Eve ,1950,"Mankiewicz, Joseph L. ",USA ,10.3
All About My Mother ,1999,"Almodovar, Pedro ",SPA ,8.8
All About Steve ,2009,"Traill, Phil ",USA ,4.24
All at Sea ,1957,"Frend, Charles ",BRI ,8.1
All Creatures Great and Small ,1975,"Watham, Claude ",BRI ,6.09
All in a Night's Work ,1960,"Anthony, Joseph ",USA ,9.9
All Men Are Mortal ,1995,"De Jong, Ate ",,7
All Neat in Black Stockings ,1969,"Morahan, Christopher ",BRI ,10
All of Me ,1984,"Reiner, Carl ",USA ,6
All or Nothing ,2002,"Leigh, Mike ",BRI ,8.03
All Over Me ,1996,"Sichel, Alex ",USA ,8.7
All That Heaven Allows ,1955,"Sirk, Douglas ",USA ,12.7
All That Jazz ,1979,"Fosse, Bob ",USA ,3.73
All That Money Can Buy ,1941,"Dieterle, William ",USA ,8
All the Boys Love Many Lane ,2006,"Levine, Jonathan ",USA ,4.19
All the Brothers Were Valiant ,1953,"Thorpe, Richard ",USA ,6
All the King's Men ,1949,"Rossen, Robert ",USA ,5.5
All the Little Animals ,1998,"Thomas, Jeremy ",BRI ,5.9
All The President's Men ,1976,"Pakula, Alan ",USA ,9.25
All the Pretty Horses ,2000,"Thornton, Billy Bob ",USA ,4.5
All the Queen's Men ,2001,"Ruzowitsky, Stefan ",,3.09
All the Rage ,1999,"Stern, James D. ",USA ,5.2
All the Way Home ,1963,"Segal, Alex ",USA ,13.7
All the Young Men ,1960,"Bartlett, Hall ",USA ,4.1
All This and Heaven Too ,1940,"Litvak, Anatol ",USA ,10
Alley Cat ,1929,"Steinhoff, Hans ",BRI ,6
"Alligator Named Daisy, An ",1955,"Lee-Thompson, J. ",BRI ,9.6
Allt hamnar sig ,1917,"Tallroth, Konrad ",SWE ,13
Allyson is Watching ,1997,"Kubilos, Bob ",USA ,5.7
Almost Famous ,2000,"Crowe, Cameron ",USA ,3.8
Almost Heroes ,1998,"Guest, Christopher ",USA ,3.5
"Almost Perfect Affair, An ",1979,"Ritchie, Michael ",,4.1
Aloha Summer ,1988,"Wallace, Tommy Lee ",USA ,5.6
Alone in the Dark ,2005,"Boll, Uwe ",,4.12
Alone in the Woods ,1996,"Putch, John ",USA ,5
Alone With a Stranger ,2000,"Liapis, Peter ",USA ,4.2
Along Came a Spider ,2001,"Tamahori, Lee ",,4.2
Along Came Polly ,2004,"Hamburg, John ",USA ,3.5
Alpha Dog ,2006,"Cassavetes, Nick ",USA ,4.84
Alpha Male ,2005,"Wilde, Dan ",BRI ,5.75
Alsace ,1916,"Pouctal, Henri ",FRA ,18.5
Altered States ,1980,"Russell, Ken ",USA ,6.4
Alucarda ,1975,"Moctezuma, Juan Lopez ",MEX ,4.7
Alvarez Kelly ,1966,"Dmytryk, Edward ",USA ,6.4
Alvin and the Chipmunks ,2007,"Hill, Jim ",USA ,3.51
Alvin and the Chipmunks 2: The Squeakquel ,2009,"Thomas, Betty ",USA ,3.88
Always ,1989,"Spielberg, Steven ",USA ,6.95
Amadeus: Director's Cut ,2001,"Forman, Milos ",,3.63
"Amantes del circulo polar, los ",1998,"Medem, Julio ",,4.6
Amar ,1954,"Khan, Mehboob ",IND ,8
Amar Akbar Anthony ,1977,"Desai, Manmohan ",IND ,4.9
Amar Prem ,1971,"Samanta, Shakti ",IND ,11.1
Amateur ,1994,"Hartley, Hal ",,12.5
Amazing Grace ,2006,"Apted, Michael ",,4.33
"Amazing Mr. Blunden, The ",1972,"Jeffries, Lionel ",BRI ,6.36
"Amazing Panda Adventure, The ",1995,"Cain, Chris ",USA ,3.7
Ambush at Tomahawk Gap ,1953,"Sears, Fred F. ",USA ,6.1
Ambush Bay ,1966,"Winston, Ben ",USA ,7.33
"Ambushers, The ",1967,"Levin, Henry ",USA ,5.6
Amelia ,2009,"Nair, Mira ",,4.92
American Beauty ,1999,"Mendes, Sam ",USA ,6.6
American Boyfriends ,1989,"Wilson, Sandy ",CAN ,11.5
American Citizen ,1992,"Green, Eitan ",ISR ,6.16
American Cousins ,2003,"Coutts, Donald ",BRI ,3.97
American Desi ,2001,"Pandya, Piyush Dinker ",USA ,4.1
American Dragons ,1997,"Hemecker, Ralph ",USA ,3.6
"American Dream, An ",1966,"Gist, Robert ",USA ,8
American Dreamz ,2006,"Weitz, Paul ",USA ,4.51
American Flyers ,1986,"Badham, John ",USA ,3.84
American Friends ,1991,"Powell, Tristram ",,6.51
American Gangster ,2007,"Scott, Ridley ",USA ,3.77
American Gigolo ,1980,"Schrader, Paul ",USA ,10.42
American Graffiti ,1973,"Lucas, George ",USA ,6.85
"American Guerrilla in the Phillipines, An ",1950,"Lang, Fritz ",USA ,8.98
American Gun ,2002,"Jacobs, Alan ",USA ,4.8
"American Haunting, An ",2005,"Solomon, Courtney ",,3.15
American History X ,1998,"Kaye, Tony ",USA ,3.2
"American in Paris, An ",1951,"Minnelli, Vincente ",USA ,21
American Madness ,1932,"Capra, Frank ",USA ,8.64
American Outlaws ,2001,"Mayfield, Les ",USA ,2.7
American Perfekt ,1997,"Chart, Paul ",USA ,8.4
American Pie ,1999,"Weitz, Paul ",USA ,3.7
American Pie 2 ,2001,"Rogers, James B. ",USA ,3.8
American Pie: The Wedding ,2003,"Dylan, Jesse ",,3.52
"American President, The ",1995,"Reiner, Rob ",USA ,5.7
American Psycho ,2000,"Harron, Mary ",,5.9
American Psycho II: All American Girl ,2002,"Freeman, Morgan J. ",,4.7
American Splendor ,2003,"Berman, S.S. & Pulcini, R. ",USA ,6.92
"American Tragedy, An ",1931,"Sternberg, Josef von ",USA ,13
American Wedding ,2003,"Dylan, Jesse ",,3.51
"American Werewolf in Paris, An ",1997,"Waller, Anthony ",USA ,2.4
"American, The ",2010,"Corbijn, Anton ",USA ,6.87
"Americano, The ",1955,"Castle, William ",USA ,5.98
America's Sweethearts ,2001,"Roth, Joe ",USA ,4.1
"Amerkanishe Freun, der ",1977,"Wenders, Wim ",,6.8
"Ami de mon amie, l' ",1987,"Rohmer, Eric ",FRA ,17.61
"Amiga, la ",1988,"Meerapfel, Jeanne ",,8
Amistad ,1997,"Spielberg, Steven ",USA ,7.8
Amityville 3-D ,1983,"Fleischer, Richard ",USA ,6.6
Amityville Dollhouse ,1996,"White, Steve ",USA ,3.9
"Amityville Horror, The ",1979,"Rosenberg, Stuart ",USA ,5.52
"Amityville Horror, The ",2005,"Douglas, Andrew ",USA ,3.31
Amityville II: The Possession ,1982,"Damiani, Damiano ",,11.97
Ammoru ,1995,"Krishna, Kodi Rama ",IND ,3.1
Among Giants ,1998,"Miller, Sam ",BRI ,5.8
Among the Living ,1941,"Heisler, Stuart ",USA ,8
"amore molesto, L' ",1995,"Martone, Mario ",ITA ,10.6
Amore! ,1993,"Doumani, Lorenzo ",USA ,7.4
Amores Perros ,2000,"Inarittu, Alejandro G. ",MEX ,4.9
"Amorous Adventures of Moll Flanders, The ",1965,"Young, Terence ",BRI ,5
Amos & Andrew ,1993,"Frye, E. Max ",USA ,4.9
Amour ,2012,"Haneke, Michael ",,31.14
"Amour de jeunesse, Un ",2011,"Hansen-L¸ve, Mia ",,7.62
"Amour en fuite, l' ",1979,"Truffaut, Francois ",FRA ,8.1
"Amour, l'apres-midi, l' ",1972,"Rohmer, Eric ",FRA ,24.4
Amphitryon ,1935,"Schünzel, Reinhold ",GER ,12
Anaconda ,1997,"Llosa, Luis ",,3.1
Anacondas: The Hunt for the Blood Orchard ,2004,"Little, Dwight H. ",USA ,2.34
Analyze That ,2002,"Ramis, Harold ",,3.63
Analyze This ,1999,"Ramis, Harold ",USA ,4.8
Anari ,1959,"Mukherjee, Hrishikesh ",IND ,12.7
Anastasia ,1956,"Litvak, Anatol ",USA ,14.2
Anatomy of a Murder ,1959,"Preminger, Otto ",USA ,13.3
Anchor Zone ,1994,"Pelletier, Andrée ",CAN ,6
Anchorman: The Legend of Ron Burgundy ,2004,"McKay, Adam ",USA ,4.38
