Country,Continent,MarriageRate,DivorceRate,Ratio,Percent,DataSourceYear
Kazakhstan,Asia,8.6,2.3,3.74,26.74,(2008)[3][4]
Kuwait,Asia,5.2,2.2,2.36,42.31,(2010)[3][4]
Kyrgyzstan,Asia,9.7,1.6,6.06,16.49,(2010)[3][4]
Latvia,Europe,6.8,3.1,2.19,45.59,(2018)[1]
Lebanon,Asia,9.5,1.6,5.94,16.84,(2007)[3][4]
Libya,Africa,10.8,2.5,4.32,23.15,(2008)[10]
Liechtenstein,Europe,5.0,2.4,2.08,48,(2010)[1]
Lithuania,Europe,7.0,3.1,2.26,44.29,(2018)[1]
Luxembourg,Europe,3.1,2.0,1.55,64.52,(2018)[1]
Malaysia,Asia,6.4,1.6,4,25,(2019)[11]
Malta (more info),Europe,5.8,0.7,8.29,12.07,(2018)[1]
Mauritius,Africa,8.2,1.4,5.86,17.07,(2010)[3][4]
Mexico,North America,5.2,0.9,5.78,17.31,(2009)[3][4]
Moldova,Europe,7.3,3.1,2.35,42.47,(2011)[3][4]
Mongolia,Asia,3.4,1.1,3.09,32.35,(2010)[3][4]
Montenegro,Europe,5.3,1.4,3.79,26.42,(2018)[1]
Netherlands,Europe,3.7,1.8,2.06,48.65,(2018)[1]
New Zealand (more info),Oceania,4.8,2.0,2.4,41.67,(2008)[3][4]
Nicaragua,North America,4.5,0.8,5.63,17.78,(2005)[7]
Macedonia,Europe,6.5,0.8,8.13,12.31,(2018)[1]
Norway (more info),Europe,4.3,1.9,2.26,44.19,(2018)[1]
Panama,North America,3.7,1.0,3.7,27.03,(2010)[3][4]
Poland (more info),Europe,5.1,1.7,3,33.33,(2018)[1]
Portugal,Europe,3.4,2.0,1.7,58.82,(2018)[1]
Qatar,Asia,3.3,1.1,3,33.33,(2011)[3][4]
Romania,Europe,7.4,1.6,4.63,21.62,(2018)[1]
Russia,Europe,5.3,3.9,1.36,73.58,(2020)[12][13]
Saint Lucia,North America,2.8,0.7,4,25,(2004)[7]
Saint Vincent and the Grenadines,North America,5.8,0.8,7.25,13.79,(2007)[3][4]
San Marino,Europe,6.1,2.5,2.44,40.98,(2011)[3][4]
Saudi Arabia,Asia,5.6,2.1,2.67,37.5,(2020)[14]
Serbia,Europe,5.2,1.4,3.71,26.92,(2018)[1]
Seychelles,Africa,17.4,1.9,9.16,10.92,(2011)[3][4]
Singapore,Asia,6.8,1.9,3.58,27.94,(2015)[15]
Slovakia,Europe,5.7,1.8,3.17,31.58,(2018)[1]
Slovenia,Europe,3.5,1.1,3.18,31.43,(2018)[1]
South Africa (more info),Africa,3.5,0.6,5.83,17.14,(2009)[6]
South Korea (more info),Asia,4.7,2.2,2.14,46.81,(2019)[16]
Spain,Europe,3.5,2.0,1.75,57.14,(2018)[1]
Sri Lanka,Asia,?,0.15,,,?[17]
Suriname,South America,4.2,1.3,3.23,30.95,(2007)[3][4]
Sweden,Europe,5.0,2.5,2,50,(2018)[1]
Switzerland,Europe,4.8,2.0,2.4,41.67,(2016)[1]
Syria,Asia,10.6,1.3,8.15,12.26,(2006)[7]
Taiwan,Asia,5.7,2.3,2.48,40.35,(2018)[18]
Tajikistan,Asia,13.5,1.4,9.64,10.37,(2009)[3][4]
Thailand,Asia,5.5,1.4,3.93,25.45,(2005)[7]
Tonga,Oceania,7.1,1.2,5.92,16.9,(2003)[7]
Trinidad and Tobago,North America,6.3,2.2,2.86,34.92,(2005)[7][19]
Tunisia,Africa,,,,,(2016)[20]
Turkey,Europe,6.8,1.7,4,25,(2018)[1]
Ukraine,Europe,6.7,2.8,2.39,41.79,(2010)[3][4]
United Arab Emirates,Asia,2.8,0.7,4,25,(2005)[21]
United Kingdom (more info),Europe,4.4,1.8,2.44,40.91,(2015)[1]
United States (more info),North America,6.5,2.9,2.24,44.62,(2017)[22]
Uruguay,South America,3.2,?,,,(2010)[3]
Uzbekistan,Asia,7.8,1.1,7.09,14.1,(2006)[23][24]
Venezuela,South America,3.3,1.2,2.75,36.36,(2006)[3]
Vietnam,Asia,5.7,0.4,14.25,7.02,(2015)[3][4]
