Country,Total,"Recorded
consumption","Unrecorded
consumption","Beer
(%)","Wine
(%)","Spirits
(%)","Other
(%)","2020
projection","2025
projection"
Georgia,9.8,7.4,2.3,18.4,43,38.5,0.1,10.5,11.6
Namibia,9.8,7.8,2,60.2,10.4,13.9,15.6,9.2,8.5
United States,9.8,8.8,0.8,47,18.1,34.9,0,10.1,10.3
Barbados,9.6,9.2,1.4,37.6,10.5,50,1.9,9.9,10.5
Uganda,9.5,7.6,1.8,11,0.1,3.1,85.8,9.8,10.3
Saint Kitts and Nevis,9.4,8.9,0.5,47.8,6.5,43.4,2.3,9.7,10.3
Tanzania,9.4,6.2,3.2,12.2,0.4,1.6,85.8,9.6,9.9
Chile,9.3,7.9,1.4,36.1,33.1,30.8,0,9.2,9.1
Grenada,9.3,8.8,1.4,40.9,7,48.3,3.8,9.4,9.6
South Africa,9.3,7.1,2.2,56,18.5,17.8,7.6,9.2,9
Sweden,9.2,7.2,2,36.4,47.8,14.1,1.7,9.8,10.1
Iceland,9.1,7.7,1.5,56.5,27.9,15.5,0,9.5,10.6
Rwanda,9,6.9,2.1,14.8,0.2,2.7,82.3,8.4,7.6
Cameroon,8.9,6.5,2.4,43.5,1.4,0.1,54.9,9.5,10.2
Canada,8.9,8.1,0.9,45.1,25.6,25.6,3.7,9.1,9.2
Croatia,8.9,9.9,1.4,44.5,39,13,3.5,8.8,8.2
Netherlands,8.7,7.5,0.6,47.8,35.8,16.4,0,9,8.8
Ukraine,8.6,5.4,3.1,42.3,5.4,51.5,0.8,9.5,10
Botswana,8.4,6.2,2.2,48.1,23.5,4.4,24,10,11.8
Ivory Coast,8.4,4.8,3.6,21.9,5,0.2,72.9,8.4,8.5
Trinidad and Tobago,8.4,7.3,1.1,57.9,3.3,37.1,1.7,9,9.5
Thailand,8.3,6.6,1.7,28.3,2.7,68.9,0,8.7,9.3
Vietnam,8.3,3.1,5.3,91.5,0.8,7.7,0,9.9,11.4
Burkina Faso,8.2,4.9,3.3,18,2.7,5,74.2,8.2,8.3
Dominica,8.2,7.3,1.8,11.1,0,88.9,0,7.5,6.9
Saint Vincent and the Grenadines,8.2,7.4,1.4,36.6,3.6,57.2,2.6,8.4,8.7
Malta,8.1,7.8,1.2,36.4,29.9,28.7,4.9,8.3,8.5
North Macedonia,8.1,4.9,3.6,35.3,46.6,17.4,0.7,7.5,6.6
Japan,8,6.9,1.1,18.2,5.5,40,36.3,8,7.9
Montenegro,8,6.4,1.7,10.8,43.1,44.1,2,7.9,7.9
Panama,7.9,6.8,1.2,76.9,3.5,19.4,0.3,8,8.4
Brazil,7.8,6.5,1.2,61.8,3.4,34.3,0.5,7.8,8.3
Congo,7.8,4.9,3,84.4,4.7,10.3,0.6,7.8,8.2
Kazakhstan,7.7,5.8,1.9,30.5,6.5,62.9,0,8.1,8.8
Albania,7.5,5,2.5,34.3,26.5,37.6,1.7,8.3,9.2
Burundi,7.5,4.1,3.4,39.3,0.1,0.1,60.5,7,6.6
Italy,7.5,7.1,0.5,25.4,64.8,9.8,0,7,6.1
Norway,7.5,6,1.1,43.9,36.7,16.7,2.7,7.8,8.2
Mongolia,7.4,5.7,1.7,43.6,1.9,54.5,0,6.2,9.1
China,7.2,5.7,1.5,29.6,3.1,67.2,0,7.5,8.1
Paraguay,7.2,5.7,1.7,54.2,17.4,27.3,1.1,8.3,9.7
Antigua and Barbuda,7,8.4,1.2,33,18.3,45.4,3.2,7.6,8.4
Niue,7,6,1,56.3,13.1,30.6,0,7,7
Dominican Republic,6.9,5.7,1.3,52.2,4.4,41.9,1.5,7.3,8
São Tomé and Príncipe,6.8,4.9,2,19.8,80.2,0,0,7.1,7.4
Belize,6.7,6.2,1.4,69.1,1.9,26.7,2.3,7,7.2
Cambodia,6.7,3.5,3.2,88.1,0.6,11.2,0.1,7.2,8.1
Philippines,6.6,4.5,2.1,27.3,0.4,72,0.3,6.8,7
Mexico,6.5,5.4,1.4,77.1,2.1,20.4,0.5,7,7.7
Angola,6.4,5,1.4,70.3,17.6,11.3,0.8,6.1,6.6
Bosnia and Herzegovina,6.4,4.4,1.8,75.8,8.6,12.4,3.2,7,7.8
Guyana,6.3,5.1,1.2,48.4,0.2,50.8,0.6,6.3,6.1
Peru,6.3,5.1,1.2,60.1,8.1,31.8,0,6.3,6.4
Kyrgyzstan,6.2,4.1,2.1,11.6,2.2,86.2,0,6.5,7.4
Cuba,6.1,4.7,1.5,37.3,4.9,57.4,0.4,6.1,6.4
Nauru,6,3.5,2.5,22,3.7,74.3,0,0,6.3
Colombia,5.8,4.4,1.4,71.3,1.1,27.2,0.3,5.6,5.3
Haiti,5.8,5.8,0,2.3,0.3,97.3,0.1,5.9,6
Liberia,5.8,3.5,2.2,9.4,1.8,88.2,0.6,5.4,4.9
Cape Verde,5.7,4.1,1.6,55,45,0,0,6,6.2
India,5.7,3,2.6,7.5,0.1,92.4,0,6.6,7.9
Sierra Leone,5.7,3.4,2.2,4,1.1,0,94.9,5.2,4.7
Venezuela,5.6,4.6,1.1,69.2,0.3,29.2,1.3,4.5,3.9
Armenia,5.5,3.8,1.7,10.6,7,82.3,0.1,5.7,6.1
Turkmenistan,5.4,3.4,2,26.8,35.1,38,0,6,6.8
Nicaragua,5.2,3.8,1.4,39.7,0.8,59.5,0.1,5.4,5.8
Suriname,5.1,4.3,0.9,44.9,3.5,48.8,2.8,5.1,5.1
Lesotho,5,3,2,57.4,3.2,10.5,28.9,4.6,4.6
Bolivia,4.8,3.6,1.2,72.8,4.3,21.3,1.6,4.9,5.2
Costa Rica,4.8,3.7,1.1,64.1,7.2,27.9,0.8,4.8,4.8
Guinea-Bissau,4.8,2.8,1.9,13.7,31.3,13.7,41.2,4.8,4.8
Myanmar,4.8,1.6,3.2,22.4,9.8,67.7,0,5.9,6.4
Zambia,4.8,2.9,2,36.4,2.7,0.4,60.4,4.8,4.7
Zimbabwe,4.8,3.6,1.3,62.8,1.3,12,23.9,4.5,4.2
Bahamas,4.4,8.6,1.2,39.2,16.6,41.2,3,4.4,4.3
Ecuador,4.4,3.3,1.1,79.9,1.5,17.8,0.7,4.5,5.1
Sri Lanka,4.3,2.7,1.6,13.2,0.3,84.9,1.5,4.6,5.1
Jamaica,4.2,3.4,1.1,36.3,4.8,54.2,4.6,4.1,4
Honduras,4,2.9,1.2,46.6,1.2,52.1,0.1,4.1,4.3
North Korea,3.9,3.4,0.5,2.7,0,97.3,0,3.6,3.3
Gambia,3.8,3,0.9,8.5,2.1,0,89.4,3.9,4.1
Israel,3.8,2.6,1.2,54.4,4.7,39.5,1.4,4,4.3
United Arab Emirates,3.8,2.1,1.8,10.1,7.7,81.9,0.3,4.2,5.5
El Salvador,3.7,2.7,1.1,47.8,1.3,50.7,0.1,4.1,4.9
Malawi,3.7,2,1.7,8.8,0.8,11.3,79.1,3.9,4.3
Mauritius,3.6,2.6,1.2,53.9,15.4,30.8,0,3.6,3.5
Kenya,3.4,1.9,1.5,39.8,1.8,21.4,37,2.7,3.1
Central African Republic,3.3,1.7,1.6,25.9,0.7,0,73.5,3.2,3.2
Tajikistan,3.3,0.9,2.3,37.9,0.7,60.9,0.4,4,4.9
Togo,3.1,1.7,1.4,37,16,18.2,28.8,3.1,3.1
Benin,3,1.6,1.5,63.7,9.6,13.1,13.6,3.7,4.6
Fiji,3,2.2,1,69.8,1.2,28.9,0,3,3.1
Ethiopia,2.8,1.4,1.4,54.6,0.3,8.3,36.9,3.5,3.7
Ghana,2.7,1.6,1.1,28.3,6.6,8,57.1,2.7,2.7
Maldives,2.7,1.3,1.9,30.8,37.2,31.9,0,3,3
Uzbekistan,2.7,1.6,1.1,34.4,8.6,56.9,0,2.6,2.6
DR Congo,2.6,1.3,1.3,38.9,0.6,0.7,59.9,3.2,3.4
Micronesia,2.5,1.6,0.9,58.1,8.5,32.8,0.6,8.3,2.9
Samoa,2.5,2,0.7,94.1,5.9,0,0,2.9,3.3
Guatemala,2.4,1.6,0.9,56.1,2.1,41.7,0.2,2.4,2.3
Mozambique,2.4,1.3,1.1,78.7,8.3,12.4,0.6,2.5,2.6
East Timor,2.1,0.6,1.5,67.6,32.4,0,0,3.8,5.5
Nepal,2,0.6,1.4,31,49,20,0,2.3,2.6
Qatar,2,1.3,0.7,25.9,10.2,63.4,0.5,2.1,2.2
Singapore,2,1.8,0.3,70,14.6,13.4,2.1,2,2
Turkey,2,1.3,0.7,57.6,8.6,33.8,0,1.9,1.9
Bahrain,1.9,2.1,0.1,19,6.2,45.2,29.6,1.9,1.8
Madagascar,1.9,0.9,1.1,53.8,8.2,38,0,1.8,1.6
Tunisia,1.9,1.4,0.6,72.2,23.9,3.8,0.1,2,2.1
Tuvalu,1.7,1.2,0.5,0.6,84.7,14.1,0,1.7,1.7
Chad,1.5,0.7,0.9,70.2,1,5.3,23.5,1.7,1.8
Lebanon,1.5,1.2,0.4,33.9,15.4,49.2,1.5,1.4,1.2
Tonga,1.5,1.1,0.7,60.7,11.5,27.9,0,1.6,1.7
Solomon Islands,1.4,1,0.4,93.3,2.9,3.3,0.5,1.3,1.2
Eritrea,1.3,0.6,0.7,62.1,0.1,0.2,37.7,1.9,2.8
Guinea,1.3,0.4,0.9,91.1,8.9,0,0,1.1,1
Mali,1.3,0.6,0.7,15.8,1.2,0,83,1.3,1.3
Papua New Guinea,1.2,0.7,0.5,95.2,2.7,2.1,0,1.2,1.1
Iran,1,0,1,,,,,1,1
Vanuatu,1,0.8,0.4,38.5,25.4,36.1,0,1.4,1.5
Algeria,0.9,0.6,0.4,57.3,24.4,18.3,0,1,1.1
Comoros,0.9,0.1,0.8,24.6,30.6,44.8,0,1,1.1
Malaysia,0.9,0.6,0.4,60.7,21,17.4,0.8,0.9,0.8
Azerbaijan,0.8,0.5,0.3,61.5,36.9,0,1.5,0.7,0.9
Indonesia,0.8,0.3,0.5,18.5,76.4,4.6,0.6,1.1,1.6
Oman,0.8,0.4,0.4,39.8,2.8,57,0.3,0.8,0.9
Jordan,0.7,0.4,0.4,19.9,2.6,75.9,1.6,0.8,1
Senegal,0.7,0.2,0.5,56.4,34.1,8.5,1,0.7,0.6
Bhutan,0.6,0.2,0.4,46.2,4.2,49.6,0,0.5,0.4
Morocco,0.6,0.4,0.3,42.9,39.8,17,0.4,0.7,0.7
Djibouti,0.5,0.4,0.2,27.5,16.7,55,0.9,0.6,0.7
Niger,0.5,0.1,0.4,45,13.7,41.4,0,0.6,0.7
Sudan,0.5,0,0.5,,,,,0,0
Brunei,0.4,0.6,0.2,100,0,0,0,0.4,0.3
Egypt,0.4,0.2,0.2,62,4.4,33.1,0.6,0.4,0.5
Iraq,0.4,0.2,0.2,71,2.4,25.7,0.9,0.5,0.6
Kiribati,0.4,0.4,0.2,100,0,0,0,0.4,0.4
Pakistan,0.3,0,0.3,,,,,0.3,0.4
Syria,0.3,0.2,0.1,11.6,1.1,87.2,0,0.3,0.3
Afghanistan,0.2,0,0.2,,,,,0.2,0.2
Saudi Arabia,0.2,0.1,0.2,,,,,0.2,0.2
Yemen,0.1,0,0,89.5,0,10.5,0,0.1,0.1
Bangladesh,0,0,0,,,,,0,0
Kuwait,0,0,0,,,,,0,0
Libya,0,0,0,,,,,0,0
Mauritania,0,0,0,,,,,0,0
Somalia,0,0,0,,,,,0,0
